Register: 04096	0x1000	Value: 00060 (0x003c)
Register: 04097	0x1001	Value: inconnue
Register: 04098	0x1002	Value: inconnue
Register: 04099	0x1003	Value: inconnue
Register: 04100	0x1004	Value: inconnue
Register: 04101	0x1005	Value: inconnue
Register: 04102	0x1006	Value: inconnue
Register: 04103	0x1007	Value: inconnue
Register: 04104	0x1008	Value: inconnue
Register: 04105	0x1009	Value: inconnue
Register: 04106	0x100a	Value: inconnue
Register: 04107	0x100b	Value: inconnue
Register: 04108	0x100c	Value: inconnue
Register: 04109	0x100d	Value: inconnue
Register: 04110	0x100e	Value: inconnue
Register: 04111	0x100f	Value: inconnue
Register: 04112	0x1010	Value: 00031 (0x001f)
Register: 04113	0x1011	Value: inconnue
Register: 04114	0x1012	Value: inconnue
Register: 04115	0x1013	Value: inconnue
Register: 04116	0x1014	Value: inconnue
Register: 04117	0x1015	Value: inconnue
Register: 04118	0x1016	Value: inconnue
Register: 04119	0x1017	Value: inconnue
Register: 04120	0x1018	Value: inconnue
Register: 04121	0x1019	Value: inconnue
Register: 04122	0x101a	Value: inconnue
Register: 04123	0x101b	Value: inconnue
Register: 04124	0x101c	Value: inconnue
Register: 04125	0x101d	Value: inconnue
Register: 04126	0x101e	Value: inconnue
Register: 04127	0x101f	Value: inconnue
Register: 04128	0x1020	Value: 00015 (0x000f)
Register: 04129	0x1021	Value: inconnue
Register: 04130	0x1022	Value: inconnue
Register: 04131	0x1023	Value: inconnue
Register: 04132	0x1024	Value: inconnue
Register: 04133	0x1025	Value: inconnue
Register: 04134	0x1026	Value: inconnue
Register: 04135	0x1027	Value: inconnue
Register: 04136	0x1028	Value: inconnue
Register: 04137	0x1029	Value: inconnue
Register: 04138	0x102a	Value: inconnue
Register: 04139	0x102b	Value: inconnue
Register: 04140	0x102c	Value: inconnue
Register: 04141	0x102d	Value: inconnue
Register: 04142	0x102e	Value: inconnue
Register: 04143	0x102f	Value: inconnue
Register: 04144	0x1030	Value: 00003 (0x0003)
Register: 04145	0x1031	Value: inconnue
Register: 04146	0x1032	Value: inconnue
Register: 04147	0x1033	Value: inconnue
Register: 04148	0x1034	Value: inconnue
Register: 04149	0x1035	Value: inconnue
Register: 04150	0x1036	Value: inconnue
Register: 04151	0x1037	Value: inconnue
Register: 04152	0x1038	Value: inconnue
Register: 04153	0x1039	Value: inconnue
Register: 04154	0x103a	Value: inconnue
Register: 04155	0x103b	Value: inconnue
Register: 04156	0x103c	Value: inconnue
Register: 04157	0x103d	Value: inconnue
Register: 04158	0x103e	Value: inconnue
Register: 04159	0x103f	Value: inconnue
Register: 04160	0x1040	Value: 00000 (0x0000)
Register: 04161	0x1041	Value: inconnue
Register: 04162	0x1042	Value: inconnue
Register: 04163	0x1043	Value: inconnue
Register: 04164	0x1044	Value: inconnue
Register: 04165	0x1045	Value: inconnue
Register: 04166	0x1046	Value: inconnue
Register: 04167	0x1047	Value: inconnue
Register: 04168	0x1048	Value: inconnue
Register: 04169	0x1049	Value: inconnue
Register: 04170	0x104a	Value: inconnue
Register: 04171	0x104b	Value: inconnue
Register: 04172	0x104c	Value: inconnue
Register: 04173	0x104d	Value: inconnue
Register: 04174	0x104e	Value: inconnue
Register: 04175	0x104f	Value: inconnue
Register: 04176	0x1050	Value: 00001 (0x0001)
Register: 04177	0x1051	Value: inconnue
Register: 04178	0x1052	Value: inconnue
Register: 04179	0x1053	Value: inconnue
Register: 04180	0x1054	Value: inconnue
Register: 04181	0x1055	Value: inconnue
Register: 04182	0x1056	Value: inconnue
Register: 04183	0x1057	Value: inconnue
Register: 04184	0x1058	Value: inconnue
Register: 04185	0x1059	Value: inconnue
Register: 04186	0x105a	Value: inconnue
Register: 04187	0x105b	Value: inconnue
Register: 04188	0x105c	Value: inconnue
Register: 04189	0x105d	Value: inconnue
Register: 04190	0x105e	Value: inconnue
Register: 04191	0x105f	Value: inconnue
Register: 04192	0x1060	Value: 00000 (0x0000)
Register: 04193	0x1061	Value: inconnue
Register: 04194	0x1062	Value: inconnue
Register: 04195	0x1063	Value: inconnue
Register: 04196	0x1064	Value: inconnue
Register: 04197	0x1065	Value: inconnue
Register: 04198	0x1066	Value: inconnue
Register: 04199	0x1067	Value: inconnue
Register: 04200	0x1068	Value: inconnue
Register: 04201	0x1069	Value: inconnue
Register: 04202	0x106a	Value: inconnue
Register: 04203	0x106b	Value: inconnue
Register: 04204	0x106c	Value: inconnue
Register: 04205	0x106d	Value: inconnue
Register: 04206	0x106e	Value: inconnue
Register: 04207	0x106f	Value: inconnue
Register: 04208	0x1070	Value: inconnue
Register: 04209	0x1071	Value: inconnue
Register: 04210	0x1072	Value: inconnue
Register: 04211	0x1073	Value: inconnue
Register: 04212	0x1074	Value: inconnue
